Country,Concept,LocalTerm,table_index,table_heading
Puerto Rico,"Trabajador/a por cuenta ajena cuyo empleador es el Estado, como por ejemplo, el personal de la policía o de escuelas públicas Funcionario",empleado público,6,Personas y oficios (4)
España,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),"portero, gorila, segurata",6,Personas y oficios (4)
Guatemala,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),guardia,6,Personas y oficios (4)
México,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),cadenero,6,Personas y oficios (4)
Puerto Rico,Guardia que controla el acceso y cuida del orden en discotecas o recitales de música Cadenero (guardia de seguridad),bouncer,6,Personas y oficios (4)
España,"Representante de una candidatura política en una mesa electoral del propio país, cuya misión es controlar y verificar, durante el transcurso del acto eleccionario, el debido cumplimiento de las disposiciones legales vigentes Unnamed: 1_level_1","apoderado de mesa, interventor de mesa",7,Personas y oficios (5)
Guatemala,"Representante de una candidatura política en una mesa electoral del propio país, cuya misión es controlar y verificar, durante el transcurso del acto eleccionario, el debido cumplimiento de las disposiciones legales vigentes Unnamed: 1_level_1","fiscal de junta receptora de votos, fiscal de mesa",7,Personas y oficios (5)
México,"Representante de una candidatura política en una mesa electoral del propio país, cuya misión es controlar y verificar, durante el transcurso del acto eleccionario, el debido cumplimiento de las disposiciones legales vigentes Unnamed: 1_level_1",observador,7,Personas y oficios (5)
Puerto Rico,"Representante de una candidatura política en una mesa electoral del propio país, cuya misión es controlar y verificar, durante el transcurso del acto eleccionario, el debido cumplimiento de las disposiciones legales vigentes Unnamed: 1_level_1",comisionado electoral,7,Personas y oficios (5)
España,Persona designada por el órgano electoral para llevar a cabo el proceso en mesa de votación del propio país Unnamed: 2_level_1,presidente de (la) mesa electoral,7,Personas y oficios (5)
Guatemala,Persona designada por el órgano electoral para llevar a cabo el proceso en mesa de votación del propio país Unnamed: 2_level_1,presidente de mesa,7,Personas y oficios (5)
México,Persona designada por el órgano electoral para llevar a cabo el proceso en mesa de votación del propio país Unnamed: 2_level_1,funcionario de casilla,7,Personas y oficios (5)
Puerto Rico,Persona designada por el órgano electoral para llevar a cabo el proceso en mesa de votación del propio país Unnamed: 2_level_1,funcionarios electoral,7,Personas y oficios (5)
España,Persona que tiene por oficio lustrar el calzado de otras personas Limpiabotas,limpiabotas,7,Personas y oficios (5)
Guatemala,Persona que tiene por oficio lustrar el calzado de otras personas Limpiabotas,lustrador,7,Personas y oficios (5)
México,Persona que tiene por oficio lustrar el calzado de otras personas Limpiabotas,"bolero, boleador, lustrador, limpiabotas",7,Personas y oficios (5)
Puerto Rico,Persona que tiene por oficio lustrar el calzado de otras personas Limpiabotas,limpiabotas,7,Personas y oficios (5)
España,"Técnico especializado en construcciones, que posee una formación integral y conocimientos específicos sobre los procesos constructivos y diseño de sistemas constructivos adecuados al proyecto ejecutado. Recibe una instrucción técnica que le confiere conocimientos y conceptos fundamentales que le permiten participar activamente, y aún ser autor de la parte proyectual no artística, de proyectos edificatorios, sin que medie otro profesional en el mismo. La primera diferencia con el trabajo de un/a arquitecta/o es que esta última persona se dedica a diseñar y dirigir proyectos; mientras que la/el profesional en cuestión es la/el encargada/o de dirigir la ejecución de la obra de edificación. Aparejador","aparejador, arquitecto técnico",7,Personas y oficios (5)
Guatemala,"Técnico especializado en construcciones, que posee una formación integral y conocimientos específicos sobre los procesos constructivos y diseño de sistemas constructivos adecuados al proyecto ejecutado. Recibe una instrucción técnica que le confiere conocimientos y conceptos fundamentales que le permiten participar activamente, y aún ser autor de la parte proyectual no artística, de proyectos edificatorios, sin que medie otro profesional en el mismo. La primera diferencia con el trabajo de un/a arquitecta/o es que esta última persona se dedica a diseñar y dirigir proyectos; mientras que la/el profesional en cuestión es la/el encargada/o de dirigir la ejecución de la obra de edificación. Aparejador","capataz, maestro de obra",7,Personas y oficios (5)
México,"Técnico especializado en construcciones, que posee una formación integral y conocimientos específicos sobre los procesos constructivos y diseño de sistemas constructivos adecuados al proyecto ejecutado. Recibe una instrucción técnica que le confiere conocimientos y conceptos fundamentales que le permiten participar activamente, y aún ser autor de la parte proyectual no artística, de proyectos edificatorios, sin que medie otro profesional en el mismo. La primera diferencia con el trabajo de un/a arquitecta/o es que esta última persona se dedica a diseñar y dirigir proyectos; mientras que la/el profesional en cuestión es la/el encargada/o de dirigir la ejecución de la obra de edificación. Aparejador",maestro (de obra),7,Personas y oficios (5)
