Country,Concept,LocalTerm
España,de baja estatura,"bajo, retaco (despectivo)"
Guatemala,de baja estatura,chaparro
México,de baja estatura,"chaparro, chapo, bajo, zotaco, sotaco"
Puerto Rico,de baja estatura,"tapón, bajo"
España,Color más claro que el azul y parecido al del cielo despejado,"azul (claro), (azul) celeste"
Guatemala,Color más claro que el azul y parecido al del cielo despejado,azul claro
México,Color más claro que el azul y parecido al del cielo despejado,"azul cielo, azul bajo, (azul) celeste, azul claro"
Puerto Rico,Color más claro que el azul y parecido al del cielo despejado,azul celeste
España,Que tiene el pelo castaño o negro chévere,moreno
Guatemala,Que tiene el pelo castaño o negro chévere,de pelo castaño o negro
México,Que tiene el pelo castaño o negro chévere,"trigueño, de pelo castaño o negro"
Puerto Rico,Que tiene el pelo castaño o negro chévere,pelinegro
España,Que está destinado a ser usado una sola vez,desechable
Guatemala,Que está destinado a ser usado una sola vez,desechable
México,Que está destinado a ser usado una sola vez,desechable
Puerto Rico,Que está destinado a ser usado una sola vez,desechable
España,"Que es muy bueno o extraordinario. (Palabras no extendidas en todo el mundo hispanohablante como ‘estupendo‘, ‘excelente‘, ‘fantástico', ‘fenomenal’, ‘formidable‘, 'genial', 'súper', etc.)","guay, chulo, de muerte, cojonudo, bestial, brutal, de puta madre, fetén, guapo, molón, la hostia, una pasada, de flipar, dabuten. la repera, mortal"
Guatemala,"Que es muy bueno o extraordinario. (Palabras no extendidas en todo el mundo hispanohablante como ‘estupendo‘, ‘excelente‘, ‘fantástico', ‘fenomenal’, ‘formidable‘, 'genial', 'súper', etc.)",chilero
México,"Que es muy bueno o extraordinario. (Palabras no extendidas en todo el mundo hispanohablante como ‘estupendo‘, ‘excelente‘, ‘fantástico', ‘fenomenal’, ‘formidable‘, 'genial', 'súper', etc.)","padre, chido, chingón, chévere, chilo, cura, curada (Baja California), cámara, perrón, suave, con madre, con ganas"
Puerto Rico,"Que es muy bueno o extraordinario. (Palabras no extendidas en todo el mundo hispanohablante como ‘estupendo‘, ‘excelente‘, ‘fantástico', ‘fenomenal’, ‘formidable‘, 'genial', 'súper', etc.)","chévere, brutal, fuera de liga, monstruo, pasao"
España,Que alaba de forma exagerada e hipócrita o trata de agradar a alguien con el único fin de conseguir un favor o un beneficio. Además s de 'adulador'.,"pelota, chaquetero, cepillo, lameculos, pelotillero, abrazafarolas"
Guatemala,Que alaba de forma exagerada e hipócrita o trata de agradar a alguien con el único fin de conseguir un favor o un beneficio. Además s de 'adulador'.,"chaquetero, lameculo, lamehuevos"
México,Que alaba de forma exagerada e hipócrita o trata de agradar a alguien con el único fin de conseguir un favor o un beneficio. Además s de 'adulador'.,"lambiscón, lamebotas, lameculos, barbero, lamehuevos, arrastrado, besapatas, cromador, lamesuelas"
Puerto Rico,Que alaba de forma exagerada e hipócrita o trata de agradar a alguien con el único fin de conseguir un favor o un beneficio. Además s de 'adulador'.,"huelepeo, lambeojo(s), alzacola, soplapote, chupamedias, lambeculo"
España,Que acostumbra contar chismes o noticias o hacer comentarios sobre la vida de otras personas y gustar de hacerlo,"cotilla, chismoso, correveidile, chafardero"
Guatemala,Que acostumbra contar chismes o noticias o hacer comentarios sobre la vida de otras personas y gustar de hacerlo,chismoso
México,Que acostumbra contar chismes o noticias o hacer comentarios sobre la vida de otras personas y gustar de hacerlo,chismoso
Puerto Rico,Que acostumbra contar chismes o noticias o hacer comentarios sobre la vida de otras personas y gustar de hacerlo,"chismoso, bochinchero, bochinchoso, lleva y trae, correveidile, lleva y trae, lengua larga, lengua de cotorra, lengua viperina, radio bemba"
España,"Se usa para indicar que una acción tuvo o tendrá lugar no antes del momento que se indica. Ej.: ""No nos vemos sino hasta dentro de dos semanas""",solo
Guatemala,"Se usa para indicar que una acción tuvo o tendrá lugar no antes del momento que se indica. Ej.: ""No nos vemos sino hasta dentro de dos semanas""",no ... hasta dentro de
México,"Se usa para indicar que una acción tuvo o tendrá lugar no antes del momento que se indica. Ej.: ""No nos vemos sino hasta dentro de dos semanas""","hasta, apenas"
España,Locución para expresar que algunas personas o cosas van apareadas,"en parejas, de dos en dos"
Guatemala,Locución para expresar que algunas personas o cosas van apareadas,"de dos en dos, en parejas, de a dos, en equipos de dos"
México,Locución para expresar que algunas personas o cosas van apareadas,"en parejas, equipo de dos, de dos en dos"
Puerto Rico,Locución para expresar que algunas personas o cosas van apareadas,"en parejas, en equipos de dos, de dos en dos"
España,"Con la intención de causar un determinado efecto, y no por descuido o sin intención Variantes comunes a todo el mundo hispanohablante en un registro formal o informal: 'deliberadamente', 'a propósito', 'ex profeso', 'intencionadamente', 'premeditadamente' y 'queriendo'","aposta, adrede, a sabiendas, a caso hecho, a cosa hecha"
Guatemala,"Con la intención de causar un determinado efecto, y no por descuido o sin intención Variantes comunes a todo el mundo hispanohablante en un registro formal o informal: 'deliberadamente', 'a propósito', 'ex profeso', 'intencionadamente', 'premeditadamente' y 'queriendo'",sabiendo
México,"Con la intención de causar un determinado efecto, y no por descuido o sin intención Variantes comunes a todo el mundo hispanohablante en un registro formal o informal: 'deliberadamente', 'a propósito', 'ex profeso', 'intencionadamente', 'premeditadamente' y 'queriendo'",adrede
Puerto Rico,"Con la intención de causar un determinado efecto, y no por descuido o sin intención Variantes comunes a todo el mundo hispanohablante en un registro formal o informal: 'deliberadamente', 'a propósito', 'ex profeso', 'intencionadamente', 'premeditadamente' y 'queriendo'",adrede
España,En el día anterior al día de ayer,"antes de ayer, anteayer, antier"
Guatemala,En el día anterior al día de ayer,"antier, anteayer"
México,En el día anterior al día de ayer,"antier, anteayer"
Puerto Rico,En el día anterior al día de ayer,"antier, antes de ayer"
