Country,Concept,LocalTerm
Puerto Rico,Inflorescencia comestible de Cynara scolymus,alcachofa
España,Planta de la especie Glycine max,soja​
Guatemala,Planta de la especie Glycine max,soya
México,Planta de la especie Glycine max,"soya,​ frijol de soya​"
Puerto Rico,Planta de la especie Glycine max,soya
España,"Fruto de la calabacera, comestible, muy diverso en cuanto a forma, tamaño y color, con muchas semillas en su interior","calabaza (Lagenaria, Cucurbita, Sicana, Benincasa), calabacín (Cucurbita pepo verde y alargado), sidra cayote, sidra, calabaza de sidra, pantana, cabello de ángel (Cucurbita ficifolia)"
Guatemala,"Fruto de la calabacera, comestible, muy diverso en cuanto a forma, tamaño y color, con muchas semillas en su interior","calabaza, ayote (Cucurbita moschata), pipián (Cucurbita argyrosperma), chilacayote p cidracayote (Cucurbita ficifolia)"
México,"Fruto de la calabacera, comestible, muy diverso en cuanto a forma, tamaño y color, con muchas semillas en su interior","calabaza, pipián (Cucurbita argyrosperma), calabacita o calabacín (Cucurbita pepo verde y alargado), cushaw (Cucurbita argyrosperma  /cushé/), chilacayote o chilacayota (Cucurbita ficifolia), zapallo (Cucurbita máxima), tamalayota, tamalayote, k´uum (Cucurbita moschata), tecomata, chihua (Cucurbita argyrosperma subsp. argyrosperma), chilacayote, chilaca o kan chiverro (Cucurbita ficifolia)"
Puerto Rico,"Fruto de la calabacera, comestible, muy diverso en cuanto a forma, tamaño y color, con muchas semillas en su interior","calabaza (Cucurbita pepo , Cucurbita moschata, Cucurbita maxima, y Cucurbita argyrosperma), calabacín (Cucurbita pepo )"
España,Impeler lejos de uno,"tirar, lanzar, echar, arrojar"
Guatemala,Impeler lejos de uno,"tirar, echar, lanzar"
México,Impeler lejos de uno,"tirar, echar, aventar, arrojar, lanzar, botar"
Puerto Rico,Impeler lejos de uno,"tirar, lanzar, echar, arrojar"
España,"Acelerarse, apresurarse en la ejecución de algo","darse prisa, apurarse, apresurarse (formal), aligerarse"
Guatemala,"Acelerarse, apresurarse en la ejecución de algo","apurarse, apresurarse, aligerarse"
México,"Acelerarse, apresurarse en la ejecución de algo","apurarse, darse prisa, correrle, apresurarse"
Puerto Rico,"Acelerarse, apresurarse en la ejecución de algo","apresurarse, apurarse, ajorarse, darse prisa"
España,"Ponerse de mal humor, enojarse","enfadarse, cabrearse, picarse, mosquearse (coloquial), ponerse bravo, calentarse, enojarse (formal)"
Guatemala,"Ponerse de mal humor, enojarse","enojarse, ponerse bravo"
México,"Ponerse de mal humor, enojarse","enojarse, molestarse, encabronarse, emputarse"
Puerto Rico,"Ponerse de mal humor, enojarse","enojarse, molestarse, enfurecerse, enfogonarse, encojonarse"
España,Ponerse en posición erguida,"levantarse, ponerse de pie, alzarse"
